,accuracy,train_seed,n_gen,n_ep,n_steps,reward
3208,0.8,53,46,940,752000,-15.101237495740296
3209,0.8,53,47,960,768000,65.4378881911775
3210,0.8,53,48,980,784000,91.7846615340062
3211,0.8,53,49,1000,800000,9.256039166242036
3212,0.8,53,50,1020,816000,87.69021673554047
3213,0.8,53,51,1040,832000,9.335012233224502
3214,0.8,53,52,1060,848000,95.52803730564736
3215,0.8,53,53,1080,864000,31.52150437770508
3216,0.8,53,54,1100,880000,87.69688707136848
3217,0.8,53,55,1120,896000,68.33625139250167
3218,0.8,53,56,1140,912000,61.6928568923423
3219,0.8,53,57,1160,928000,62.97125384538722
3220,0.8,53,58,1180,944000,95.50868507376184
3221,0.8,53,59,1200,960000,15.400271104279836
3222,0.8,53,60,1220,976000,96.14658136986664
3223,0.8,53,61,1240,992000,80.99232709315804
3224,0.8,54,0,20,16000,8.96009161193218
3225,0.8,54,1,40,32000,-16.613481699879976
3226,0.8,54,2,60,48000,14.931315052679532
3227,0.8,54,3,80,64000,9.80821473448772
3228,0.8,54,4,100,80000,-11.873434881290711
3229,0.8,54,5,120,96000,-15.118314940273654
3230,0.8,54,6,140,112000,-5.664734181103051
3231,0.8,54,7,160,128000,-10.865837146911243
3232,0.8,54,8,180,144000,-9.254034350118504
3233,0.8,54,9,200,160000,39.335606283334
3234,0.8,54,10,220,176000,2.115311094002432
3235,0.8,54,11,240,192000,0.2648187917233144
3236,0.8,54,12,260,208000,-11.37959394754569
3237,0.8,54,13,280,224000,-16.00560354660237
3238,0.8,54,14,300,240000,72.83083715953727
3239,0.8,54,15,320,256000,9.6142289481817
3240,0.8,54,16,340,272000,27.73651639138226
3241,0.8,54,17,360,288000,100.12852794822469
3242,0.8,54,18,380,304000,-37.16191297712567
3243,0.8,54,19,400,320000,154.55294748514467
3244,0.8,54,20,420,336000,48.65921178743603
3245,0.8,54,21,440,352000,176.24020864949722
3246,0.8,54,22,460,368000,169.6395586624844
3247,0.8,54,23,480,384000,9.70010530999875
3248,0.8,54,24,500,400000,205.330417287142
3249,0.8,54,25,520,416000,40.28397726108063
3250,0.8,54,26,540,432000,2.2355476091732323
3251,0.8,54,27,560,448000,16.288526448803818
3252,0.8,54,28,580,464000,3.8279351775709634
3253,0.8,54,29,600,480000,190.58956365160205
3254,0.8,54,30,620,496000,112.6692970049285
3255,0.8,54,31,640,512000,240.01202759005469
3256,0.8,54,32,660,528000,103.05642021339963
3257,0.8,54,33,680,544000,138.7308772152397
3258,0.8,54,34,700,560000,220.94622339948344
3259,0.8,54,35,720,576000,127.92079607977388
3260,0.8,54,36,740,592000,76.99088619327378
3261,0.8,54,37,760,608000,139.89598874020095
3262,0.8,54,38,780,624000,49.31838807947878
3263,0.8,54,39,800,640000,118.859773112603
3264,0.8,54,40,820,656000,116.945061010778
3265,0.8,54,41,840,672000,61.50138384276522
3266,0.8,54,42,860,688000,232.90020814610315
3267,0.8,54,43,880,704000,52.92869566970121
3268,0.8,54,44,900,720000,224.7351197202701
3269,0.8,54,45,920,736000,-5.474105419799419
3270,0.8,54,46,940,752000,168.34747172858116
3271,0.8,54,47,960,768000,193.15987795372644
3272,0.8,54,48,980,784000,240.08365068538544
3273,0.8,54,49,1000,800000,195.3166859851256
3274,0.8,54,50,1020,816000,-22.70625227210582
3275,0.8,54,51,1040,832000,242.2906951234303
3276,0.8,54,52,1060,848000,214.07347417241
3277,0.8,54,53,1080,864000,172.96616437394275
3278,0.8,54,54,1100,880000,247.80270180837607
3279,0.8,54,55,1120,896000,-20.20809952650569
3280,0.8,54,56,1140,912000,225.7759371832366
3281,0.8,54,57,1160,928000,193.35212587856373
3282,0.8,54,58,1180,944000,203.1005910155328
3283,0.8,54,59,1200,960000,230.44982454143093
3284,0.8,54,60,1220,976000,271.59921536275385
3285,0.8,54,61,1240,992000,244.8684978719263
3286,0.8,55,0,20,16000,-27.59157199156665
3287,0.8,55,1,40,32000,-15.659248426533088
3288,0.8,55,2,60,48000,-17.50838104454756
3289,0.8,55,3,80,64000,24.27088291380353
3290,0.8,55,4,100,80000,20.815046558101404
3291,0.8,55,5,120,96000,-14.61370385631874
3292,0.8,55,6,140,112000,-26.711014384807783
3293,0.8,55,7,160,128000,1.9302719713720973
3294,0.8,55,8,180,144000,-1.3643669701494772
3295,0.8,55,9,200,160000,14.931315052679532
3296,0.8,55,10,220,176000,-15.830350103481754
3297,0.8,55,11,240,192000,53.62619757766184
3298,0.8,55,12,260,208000,9.7779600442227
3299,0.8,55,13,280,224000,6.740764238737222
3300,0.8,55,14,300,240000,20.14171414929409
3301,0.8,55,15,320,256000,-42.095602387921616
3302,0.8,55,16,340,272000,14.931315052679532
3303,0.8,55,17,360,288000,8.164401398732139
3304,0.8,55,18,380,304000,28.57149078052912
3305,0.8,55,19,400,320000,-25.58351680954148
3306,0.8,55,20,420,336000,14.931315052679532
3307,0.8,55,21,440,352000,28.38748153281512
3308,0.8,55,22,460,368000,27.60081748834694
3309,0.8,55,23,480,384000,56.93062299877533
3310,0.8,55,24,500,400000,22.775210469262483
3311,0.8,55,25,520,416000,57.68395880602343
3312,0.8,55,26,540,432000,-27.43909245848169
3313,0.8,55,27,560,448000,29.591722779070672
3314,0.8,55,28,580,464000,32.22211126143628
3315,0.8,55,29,600,480000,46.73670761649264
3316,0.8,55,30,620,496000,61.19616211329769
3317,0.8,55,31,640,512000,67.37792974525895
3318,0.8,55,32,660,528000,28.87292662474609
3319,0.8,55,33,680,544000,4.858496015531945
3320,0.8,55,34,700,560000,37.108510458867855
3321,0.8,55,35,720,576000,38.9513127303138
3322,0.8,55,36,740,592000,32.32222256461675
3323,0.8,55,37,760,608000,24.42609097123524
3324,0.8,55,38,780,624000,4.259814700477604
3325,0.8,55,39,800,640000,30.959780744217063
3326,0.8,55,40,820,656000,-20.56890732061212
3327,0.8,55,41,840,672000,36.85154911045311
3328,0.8,55,42,860,688000,87.7947047745988
3329,0.8,55,43,880,704000,40.14566348635724
3330,0.8,55,44,900,720000,-4.296179338443025
3331,0.8,55,45,920,736000,-8.722401710142076
3332,0.8,55,46,940,752000,48.00172569742538
3333,0.8,55,47,960,768000,49.72363663387984
3334,0.8,55,48,980,784000,-17.257946624484518
3335,0.8,55,49,1000,800000,84.5998601816131
3336,0.8,55,50,1020,816000,82.2235831298881
3337,0.8,55,51,1040,832000,220.82918227116343
3338,0.8,55,52,1060,848000,247.5571896856631
3339,0.8,55,53,1080,864000,184.18077911589745
