,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
1076,0.8,11,,,False,0.15625,84,0.4021886828865724,28.929352045059204,0.3353033065795898,791000,96866,887866
1077,0.8,11,,,False,0.15625,85,0.4021886828865724,29.26769471168518,0.3380894660949707,798000,96866,894866
1078,0.8,11,,,False,0.15625,86,0.4021886828865724,29.673515796661377,0.4055545330047607,805000,96866,901866
1079,0.8,11,,,False,0.15625,87,0.4021886828865724,30.00881290435791,0.335045576095581,812000,96866,908866
1080,0.8,11,,,False,0.15625,88,0.4021886828865724,30.345107793807983,0.3360259532928467,819000,96866,915866
1081,0.8,11,,,False,0.15625,89,0.4021886828865724,30.68219304084778,0.3368186950683594,826000,96866,922866
1082,0.8,11,,,True,0.15625,90,0.4021886828865724,31.03861665725708,0.3561604022979736,833000,104797,937797
1083,0.8,11,,,False,0.15625,91,0.4021886828865724,31.371856451034542,0.332984447479248,840000,104797,944797
1084,0.8,11,,,False,0.15625,92,0.4599793747112118,31.70521545410156,0.3330938816070556,847000,104797,951797
1085,0.8,11,,,False,0.15625,93,0.4599793747112118,32.04460573196411,0.3391177654266357,854000,104797,958797
1086,0.8,11,,,False,0.15625,94,0.4599793747112118,32.38174486160278,0.3368594646453857,861000,104797,965797
1087,0.8,11,,,False,0.15625,95,0.4599793747112118,32.71794056892395,0.3357312679290771,868000,104797,972797
1088,0.8,11,,,False,0.15625,96,0.4599793747112118,33.059187173843384,0.3409874439239502,875000,104797,979797
1089,0.8,11,,,False,0.15625,97,0.4599793747112118,33.4054970741272,0.3460724353790283,882000,104797,986797
1090,0.8,11,,,False,0.15625,98,0.4599793747112118,33.74417543411255,0.3384039402008056,889000,104797,993797
1091,0.8,11,,,True,0.15625,99,0.4599793747112118,34.1036913394928,0.3592617511749267,896000,112728,1008728
1092,0.8,12,0.95,689169321.5289924,True,0.49375,0,0.4691317127013553,0.6432323455810547,0.6430120468139648,24000,8778,32778
1093,0.8,12,,,False,0.49375,1,0.3789843203281617,1.0000135898590088,0.3565454483032226,48000,8778,56778
1094,0.8,12,,,False,0.49375,2,0.3623353007058806,1.3375837802886963,0.3373606204986572,72000,8778,80778
1095,0.8,12,,,False,0.49375,3,0.3661408768499012,1.6525354385375977,0.3146886825561523,96000,8778,104778
1096,0.8,12,,,True,0.15625,4,0.5220070479527582,2.017202854156494,0.3644626140594482,103000,16709,119709
1097,0.8,12,,,False,0.15625,5,0.5119447097033278,2.326734066009521,0.309335708618164,110000,16709,126709
1098,0.8,12,,,False,0.15625,6,0.5354995231410323,2.66947603225708,0.3425252437591553,117000,16709,133709
1099,0.8,12,,,False,0.15625,7,0.5354995231410323,2.9677577018737797,0.2980725765228271,124000,16709,140709
1100,0.8,12,,,False,0.15625,8,0.5278559147243361,3.265097141265869,0.2971198558807373,131000,16709,147709
1101,0.8,12,,,False,0.15625,9,0.5318919776954247,3.565354824066162,0.3000330924987793,138000,16709,154709
1102,0.8,12,,,False,0.15625,10,0.5436673596543652,3.86918830871582,0.3036167621612549,145000,16709,161709
1103,0.8,12,,,False,0.15625,11,0.4754108915844452,4.187110185623169,0.3176274299621582,152000,16709,168709
1104,0.8,12,,,False,0.15625,12,0.4817300478887989,4.50975227355957,0.3224141597747803,159000,16709,175709
1105,0.8,12,,,True,0.15625,13,0.4817300478887989,4.85142970085144,0.3414325714111328,166000,24640,190640
1106,0.8,12,,,False,0.15625,14,0.4817300478887989,5.173801898956299,0.3221457004547119,173000,24640,197640
1107,0.8,12,,,False,0.15625,15,0.4817300478887989,5.497938632965088,0.3239107131958008,180000,24640,204640
1108,0.8,12,,,False,0.15625,16,0.4817300478887989,5.832920074462891,0.3347299098968506,187000,24640,211640
1109,0.8,12,,,False,0.15625,17,0.4817300478887988,6.166264533996582,0.3331003189086914,194000,24640,218640
1110,0.8,12,,,False,0.15625,18,0.4817300478887989,6.491668701171875,0.325171947479248,201000,24640,225640
1111,0.8,12,,,False,0.15625,19,0.4821518880661636,6.823633670806885,0.3317208290100097,208000,24640,232640
1112,0.8,12,,,False,0.15625,20,0.4817300478887988,7.158466577529907,0.3345940113067627,215000,24640,239640
1113,0.8,12,,,False,0.15625,21,0.4817300478887989,7.4872190952301025,0.3285131454467773,222000,24640,246640
1114,0.8,12,,,True,0.15625,22,0.4817300478887988,7.853375673294067,0.3659117221832275,229000,32571,261571
